accepted,classcode,cnn,cnntext,district,f_node_cnn,jurisdicti,layer,lf_fadd,lf_toadd,multigeom,nhood,oneway,rt_fadd,rt_toadd,st_type,street,street_gc,streetname,t_node_cnn,zip_code,geometry,x,y,mean_dist_10_crimes,mean_dist_10_vcrimes,mean_dist_10_pcrimes
Y,4,138000.0,138000,,24519000.0,DPW,STREETS,301.0,353.0,F,Financial District South,B,300.0,342.0,ST,02ND,2ND,02ND ST,24511000.0,94107,"LINESTRING (-122.3967051782228 37.78554213098046, -122.3958957008895 37.78489692913111)",-122.39630043955619,37.785219530055784,6.231304521990986e-05,0.0002910686813481609,6.231304521990986e-05
Y,3,2774000.0,2774000,,25410000.0,DPW,STREETS,201.0,299.0,F,North Waterfront,B,200.0,298.0,ST,BAY,BAY,BAY ST,25461000.0,94133,"LINESTRING (-122.4103108417152 37.80602771759622, -122.4119500872868 37.80582493115746)",-122.41113046450099,37.80592632437684,5.709063623809847e-05,0.0004500660272128565,5.752368562567583e-05
Y,5,7360000.0,7360000,,24577000.0,DPW,STREETS,101.0,199.0,F,Financial District North,B,100.0,198.0,ST,JACKSON,JACKSON,JACKSON ST,24697000.0,94111,"LINESTRING (-122.3983331480685 37.79709205358014, -122.3995074993223 37.79692643028396)",-122.39892032369538,37.79700924193205,5.567389466739815e-05,5.567389466739815e-05,5.567389466739815e-05
Y,4,327000.0,327000,,24295000.0,DPW,STREETS,35.0,63.0,F,South of Market,B,32.0,62.0,ST,06TH,6TH,06TH ST,24294000.0,94103,"LINESTRING (-122.4096932609014 37.78175432763388, -122.4092454428407 37.78139813345332)",-122.40946935187108,37.78157623054361,6.0974639898180236e-05,6.0974639898180236e-05,6.112608699419627e-05
Y,5,3525000.0,3525000,,24568000.0,DPW,STREETS,101.0,199.0,F,Financial District North,B,100.0,198.0,ST,CALIFORNIA,CALIFORNIA,CALIFORNIA ST,24674000.0,94111,"LINESTRING (-122.3976083325653 37.79350860390521, -122.3987816473204 37.79335910003837)",-122.39819498994281,37.793433851971784,5.680041325259603e-05,0.0005935482303731576,5.680041325259603e-05
Y,5,5888000.0,5888000,,26042000.0,DPW,STREETS,1001.0,1099.0,F,Alamo Square,B,1000.0,1098.0,ST,FULTON,FULTON,FULTON ST,26054000.0,94117,"LINESTRING (-122.4332187382096 37.77749036639268, -122.4348637720661 37.77728066449454)",-122.43404125513786,37.77738551544361,5.644552601770515e-05,0.0006875767648499388,5.644552601770515e-05
Y,4,3555000.0,3555000,,26534000.0,DPW,STREETS,2201.0,2299.0,F,Pacific Heights,B,2200.0,2298.0,ST,CALIFORNIA,CALIFORNIA,CALIFORNIA ST,26605000.0,94115,"LINESTRING (-122.4305509992399 37.78932449766116, -122.4321966798975 37.78911523099319)",-122.4313738395687,37.78921986432717,5.66702035623012e-05,0.0004885921073187224,5.756160548647418e-05
Y,5,12870000.0,12870000,,26659000.0,DPW,STREETS,2001.0,2099.0,F,Cow Hollow,B,2000.0,2098.0,ST,UNION,UNION,UNION ST,26666000.0,94123,"LINESTRING (-122.4322042885716 37.79750694932358, -122.4338467323955 37.79729802859738)",-122.43302551048352,37.79740248896048,5.644057262636013e-05,5.710845030302049e-05,5.644057262636013e-05
Y,5,7290000.0,7290000,,27173000.0,DPW,STREETS,1201.0,1299.0,F,Inner Sunset,B,1200.0,1298.0,ST,IRVING,IRVING,IRVING ST,27174000.0,94122,"LINESTRING (-122.4705950856119 37.76384879117779, -122.4716677949317 37.76380164753806)",-122.47113144027178,37.763825219357926,5.619382198185207e-05,0.0005220846100406327,5.619382198185207e-05
Y,3,6107000.0,6107000,,24645000.0,DPW,STREETS,9.0,99.0,F,Financial District North,F,2.0,98.0,ST,GEARY,GEARY,GEARY ST,24655000.0,94108,"LINESTRING (-122.4034917752732 37.78796309164361, -122.4050413988649 37.78776549565188)",-122.40426658706907,37.78786429364774,5.53333429455316e-05,9.204177371874902e-05,5.5693442552611e-05
Y,5,6883000.0,6883000,,23878000.0,DPW,STREETS,1.0,99.0,F,Mission Bay,B,2.0,98.0,ST,HENRY ADAMS,HENRY ADAMS,HENRY ADAMS ST,23862000.0,94103,"LINESTRING (-122.4040104265913 37.76977179391639, -122.4039124553796 37.76867906411357, -122.4038738200942 37.76859108966617)",-122.40395594074761,37.76917788988406,6.900159896110756e-05,0.0008797722524732689,6.900159896110756e-05
Y,5,7457000.0,7457000,,25594000.0,,STREETS,201.0,299.0,F,North Waterfront,B,202.0,300.0,ST,JEFFERSON,JEFFERSON,JEFFERSON ST,25596000.0,94133,"LINESTRING (-122.4158024249824 37.80821405388185, -122.4174459390017 37.80801332401108)",-122.41662418199208,37.80811368894647,5.6667567493845486e-05,0.00013410127297218345,5.7740028150505736e-05
Y,4,798000.0,798000,,24176000.0,DPW,STREETS,3345.0,3399.0,F,Inner Mission,B,3338.0,3398.0,ST,17TH,17TH,17TH ST,24174000.0,94110,"LINESTRING (-122.4204328173904 37.76337555212113, -122.4217315224948 37.76329976828787)",-122.42108216994258,37.7633376602045,5.539227275888768e-05,0.0005172149161204178,5.576784775317958e-05
Y,4,3437000.0,3437000,,24976000.0,DPW,STREETS,701.0,799.0,F,Downtown - Tenderloin,T,700.0,798.0,ST,BUSH,BUSH,BUSH ST,24949000.0,94102,"LINESTRING (-122.4087861066072 37.79015950096554, -122.4104332457771 37.78995142415381)",-122.40960967619219,37.79005546255968,5.6452060148408824e-05,5.6895228530131996e-05,5.711681272099358e-05
Y,4,5678000.0,5678000,,24272000.0,DPW,STREETS,1201.0,1299.0,F,South of Market,T,1200.0,1298.0,ST,FOLSOM,FOLSOM,FOLSOM ST,24246000.0,94103,"LINESTRING (-122.4100627702947 37.77499179202282, -122.4116101167046 37.77376934637586)",-122.41083644349966,37.774380569199344,6.0987517356527916e-05,0.00040826432582694315,6.0987517356527916e-05
Y,5,5181000.0,5181000,,26489000.0,DPW,STREETS,1001.0,1099.0,F,Van Ness - Civic Center,F,1000.0,1098.0,ST,ELLIS,ELLIS,ELLIS ST,26492000.0,94109,"LINESTRING (-122.4226525441926 37.78361909710706, -122.4242948128445 37.78339985845233)",-122.42347367851855,37.7835094777797,5.6427962184919434e-05,0.0006701719774586644,5.6893930409983174e-05
Y,3,258000.0,258000,,23907000.0,DPW,STREETS,371.0,427.0,F,Financial District South,F,368.0,414.0,ST,04TH,4TH,04TH ST,23906000.0,94107,"LINESTRING (-122.4001496373555 37.78121752042905, -122.3996162324191 37.7807914830536)",-122.39988293488729,37.78100450174132,6.15401311269822e-05,0.00022949658587165844,6.15401311269822e-05
Y,4,8747102.0,8747102,,24892000.0,,STREETS,801.0,863.0,F,Financial District South,T,0.0,0.0,ST,MARKET,MARKET,MARKET ST,34016000.0,94103,"LINESTRING (-122.4058310112804 37.7857439886799, -122.4058556953997 37.78566259857206, -122.4072495927996 37.78456809150944, -122.4073370405305 37.78456014216795)",-122.40655506625941,37.785116169229944,6.320210768628606e-05,6.320210768628606e-05,6.320210768628606e-05
Y,5,3542000.0,3542000,,25082000.0,DPW,STREETS,1051.0,1099.0,F,Nob Hill,B,1046.0,1098.0,ST,CALIFORNIA,CALIFORNIA,CALIFORNIA ST,25088000.0,94108,"LINESTRING (-122.4117118778078 37.79172167674669, -122.4124608816974 37.79162707522354)",-122.41208637975261,37.79167437598511,5.5324508544537265e-05,0.0008328627668610772,5.5324508544537265e-05
Y,3,6717000.0,6717000,,24513000.0,DPW,STREETS,701.0,733.0,F,Financial District South,F,700.0,730.0,ST,HARRISON,HARRISON,HARRISON ST,24579000.0,94107,"LINESTRING (-122.3973855387827 37.7825535929401, -122.3983411072729 37.78179876806987)",-122.39786332302779,37.78217618050498,6.243972371048373e-05,6.243972371048373e-05,6.243972371048373e-05
Y,5,3081000.0,3081000,,23887000.0,DPW,STREETS,601.0,699.0,F,Mission Bay,B,600.0,698.0,ST,BRANNAN,BRANNAN,BRANNAN ST,23890000.0,94107,"LINESTRING (-122.398755449433 37.77656838289965, -122.4009815676147 37.7748087758895)",-122.39986850852382,37.775688579394576,6.218575765132916e-05,0.0011493205118900725,6.218575765132916e-05
Y,3,9722000.0,9722000,,24902000.0,DPW,STREETS,101.0,199.0,F,Downtown - Tenderloin,T,100.0,198.0,ST,OFARRELL,OFARRELL,OFARRELL ST,24904000.0,94102,"LINESTRING (-122.4063988777675 37.78661534722836, -122.4080362362706 37.78640961374172)",-122.40721755701907,37.78651248048504,5.643341737029366e-05,5.796859384483861e-05,5.643341737029366e-05
